Name;OriginalSize;BxesSize;BxesPreprocessing;ZipSize;BxesToXesSize;ExiSize;ValuesRepeatCoef;AttributesRepeatCoef;ValuesVariantsCoef;AttributesVariantsCoef
task_test_project_1;1962871;78871;79676;84967;1974477;64107;0.0026000842231182182;0.0016993057581674842;0.10178442496132027;0.20184549356223175
loh_allocations_1;58091937;830554;860987;1315593;58616993;775070;0.0008595898778865009;0.00040464121185289923;0.010736392153893635;0.022990498599902303
file_async_operations_75;322274253;6412601;6301468;12118437;324612938;6528738;5.492868781967008E-05;3.246920552641861E-05;0.029480536629200294;0.06190755067751542
loh_allocations_75;4362044610;59174768;61587661;98943129;4401492795;56879757;1.9420662689279916E-05;9.18514421407018E-06;0.006345056110845157;0.013610950424790692
file_async_operations_50;207679531;4167623;4085525;7918992;209151011;4207041;8.448631602158423E-05;5.069021571884309E-05;0.0300608753710483;0.06296159496397696
loh_allocations_50;2901896089;39289878;40968319;65449218;2928116414;37621612;2.8601089010225334E-05;1.3520178334600402E-05;0.006483412042748612;0.013907535487449852
file_write_project_50;34106472;560458;550330;1467311;34305172;699268;0.0005947651022926747;0.000533688042353522;0.021603689991830488;0.04475303501149283
dynamic_assembly_creation_50;130532191;2097287;2053983;4799011;131248781;2216150;0.0002267109428902871;0.0001464043127604661;0.02156563303051891;0.04544408099504301
not_simple_async_await_25;86244842;1860038;1832596;3291077;86891837;1820589;0.00015954235750518844;9.139058057027833E-05;0.03727228229559371;0.0780481828990071
yield_enumerator_1;480191;25353;25207;23600;483137;19898;0.006926606419822526;0.005077695699956806;0.12738182113030083;0.2508978963571062
console_app_1_25;15498949;309790;306066;752913;15598129;361431;0.0008664406564402662;0.0006276418954886182;0.035544869223363286;0.07512118875875252
exception_try_catch_finally_50;7218623;148781;146849;366417;7267123;146733;0.0017879219688742888;0.001157038006642306;0.03853497563819375;0.08138745587836003
simple_async_await_50;115913079;2076006;2045430;4682719;116551614;2166956;0.00023376927704721911;0.00015215179328449457;0.023497548028476003;0.049145057014960095
exception_try_catch_finally_async_50;246641549;1516891;1456082;11694780;247972439;3284994;0.0002576308378347212;0.00017025767777136317;0.010141474718436542;0.021678331742277783
not_simple_async_await_1;3469191;123565;124198;133487;3495257;102067;0.0016433530692958932;0.0009198104714349304;0.08533916849015317;0.17253600219632118
exception_try_catch_finally_when_75;46405530;790617;778844;2206596;46694370;1013275;0.00045168055958991085;0.0003341432288167928;0.02322850331799889;0.04931113329003163
intensive_thread_pool_1;22181583;642417;637859;592611;22400249;485643;0.0002310795588972757;0.00012201761302588738;0.09001305495360863;0.19539919363091218
yield_enumerator_50;23505447;405001;399431;1108770;23649337;509938;0.0008165153941429987;0.0006441310321542059;0.024663168884631104;0.051860841986660085
array_pooling_25;40808752;913924;896778;1519093;41228207;904231;0.00041919458134216664;0.00030417465542265245;0.027576266221538203;0.060026836428938954
finalizable_object_25;22129790;469574;457065;825501;22323360;486312;0.0005952507591583415;0.0003400826818961318;0.032717888630506745;0.07489815952817136
intensive_thread_pool_75;1668535631;35926797;35229484;44430083;1684999161;32350021;5.675503290135883E-06;3.177584854009195E-06;0.050783015498237875;0.11011580864908638
exception_try_catch_finally_async_25;124905472;792683;761877;5901599;125589117;1528544;0.0004617628804371693;0.0003046319054591913;0.011086686665977036;0.023540545736652416
simple_async_await_25;58210346;1091689;1076457;2352486;58533021;1106268;0.0003932164479858222;0.00025568725179375104;0.027607554114564545;0.0573666156714634
exception_try_catch_finally_25;3618508;83707;82491;184378;3642853;78246;0.0027837856618079704;0.0017951293709220254;0.0488192673375092;0.10209979679385865
console_app_1_50;30958308;561587;552691;1501884;31156198;696409;0.0005744595197891925;0.0004191271288152971;0.027083205199493407;0.05746564352797816
dynamic_assembly_creation_1;2620670;82140;83805;97499;2635066;68385;0.0028451378665287712;0.0017756435632203906;0.08036553783217591;0.16313654799459215
file_write_project_1;687912;31771;31825;30850;691903;24409;0.004872792119672366;0.004030556022487472;0.11806388936510658;0.23448031216743526
not_simple_async_await_50;166669833;3437755;3367799;6441271;167891878;3449026;9.940518518696548E-05;5.794606898708786E-05;0.031487092039306976;0.06602644483289806
dynamic_assembly_creation_25;65506195;1083802;1066918;2415125;65867630;1123184;0.0004172547489925669;0.0002690733558461335;0.023248128454418985;0.04884713067792125
